Date,Price,Return
2014-10-22,2289.68,0.0024794
2014-10-23,2274.36,-0.006713376
2014-10-24,2274.86,0.000219818
2014-10-27,2259.61,-0.00672628
2014-10-28,2306.49,0.020534656
2014-10-29,2335.67,0.012571899
2014-10-30,2342.68,0.002996785
2014-10-31,2370.04,0.011611259
2014-11-03,2367.92,-0.0008949
2014-11-04,2371.97,0.001708901
2014-11-05,2355.29,-0.007056971
2014-11-06,2356.43,0.0004839
2014-11-07,2342.17,-0.006069912
2014-11-10,2383.01,0.017286544
2014-11-11,2373.96,-0.003804948
2014-11-12,2393.92,0.008372743
2014-11-13,2390.96,-0.001237231
2014-11-14,2397.18,0.002598088
2014-11-17,2376.26,-0.008765223
2014-11-18,2356.02,-0.008554068
2014-11-19,2345.15,-0.004624389
2014-11-20,2342.31,-0.001211744
2014-11-21,2365.52,0.009860249
2014-11-24,2409.85,0.018566634
2014-11-25,2425.7,0.006555638
2014-11-26,2450.54,0.010188266
2014-11-27,2453.65,0.001268303
2014-11-28,2475.05,0.008683886
2014-12-01,2442.56,-0.013213928
2014-12-02,2492.98,0.020432112
2014-12-03,2500.87,0.003159889
2014-12-04,2574.69,0.029090467
2014-12-05,2580.04,0.002075764
2014-12-08,2625.07,0.01730266
2014-12-09,2527.26,-0.03797185
2014-12-10,2586.97,0.023351595
2014-12-11,2574.75,-0.004734865
2014-12-12,2577.05,0.000892892
2014-12-15,2579.45,0.000930864
2014-12-16,2585.01,0.002153179
2014-12-17,2599.04,0.00541277
2014-12-18,2621.05,0.008432855
2014-12-19,2651.18,0.011429823
2014-12-22,2668.15,0.006380524
2014-12-23,2623.2,-0.016990402
2014-12-24,2593.47,-0.011398199
2014-12-25,2636.5,0.016455533
2014-12-26,2673.63,0.01398482
2014-12-29,2698.19,0.009144078
2014-12-30,2686.33,-0.004405228
2014-12-31,2724.24,0.01401354
2015-01-01,2724.24,0
2015-01-02,2740.09,0.005801276
2015-01-05,2784.66,0.016135017
2015-01-06,2788.14,0.001248924
2015-01-07,2799.51,0.004069695
